S.No,Curing (days),Cement (kg/m³),w/c,Coarse aggregate (kg/m³),Fine aggregate (kg/m³),CNT (%),Compressive strength (MPa)
1,28,360,0.5,950,745,0,39.5
2,28,320,0.56,898,782,0,40
3,28,328.5,0.68,533.7,625.1,0,40
4,28,360,0.5,898,797,0,40
5,28,320,0.56,845,834,0,40.3
6,28,340,0.5,898,842,0,40.8
7,28,302,0.56,898,828,0,40.8
8,28,302,0.56,950,776,0,41
9,28,340,0.5,845,893,0,41.1
10,28,340,0.5,950,790,0,41.3
11,28,400,0.45,845,863,0,41.3
12,28,302,0.56,845,880,0,41.5
13,28,360,0.5,845,848,0,41.5
14,28,400,0.45,898,811,0,41.5
15,28,405,0.44,950,702,0,41.5
16,28,378,0.45,950,803,0,41.8
17,28,360,0.5,845,789,0,42
18,28,400,0.45,950,759,0,42.1
19,28,360,0.5,950,686,0,42.4
20,28,378,0.45,898,855,0,42.5
21,28,405,0.44,898,754,0,43
22,28,360,0.5,898,738,0,43.2
23,28,340,0.5,950,734,0,43.3
24,28,450,0.4,950,718,0,43.5
25,28,405,0.44,845,805,0,43.6
26,28,450,0.4,898,770,0,43.8
27,28,412.5,0.49,520.1,612.7,0,44
28,28,450,0.4,845,821,0,44.5
29,28,383,0.44,950,749,0,45
30,28,340,0.5,845,838,0,45
31,28,340,0.5,898,786,0,45.1
32,28,383,0.44,898,801,0,45.7
33,28,425,0.4,950,764,0,46
34,28,425,0.4,898,816,0,46
35,28,425,0.4,845,853,0,47.1
36,28,425,0.4,845,868,0,47.7
37,28,401.5,0.51,518.6,610.9,0,50
38,28,375,0.53,1143.75,592.5,0,36.8
39,28,400,0.5,1128,572,0,43.1
40,28,400,0.53,1196,616,0,38.6
41,28,425,0.47,1096.5,544,0,47.2
42,28,425,0.49,1177.25,590.75,0,45.1
43,28,450,0.44,1057.5,513,0,49.6
44,28,450,0.47,1143,562.5,0,47.4
45,28,475,0.42,1040.25,498.75,0,54
46,28,475,0.44,1168.5,565.25,0,50.1
47,28,375,0.53,1143.75,592.5,0,37.8
48,28,400,0.5,1128,572,0,44.1
49,28,400,0.53,1196,616,0,40.9
50,28,425,0.47,1096.5,544,0,47.5
51,28,425,0.49,1177.25,590.75,0,45.3
52,28,425,0.51,1253.75,641.75,0,42.5
53,28,450,0.44,1057.5,513,0,52
54,28,450,0.47,1143,562.5,0,48.7
55,28,450,0.49,1228.5,616.5,0,46.6
56,28,475,0.42,1040.25,498.75,0,54.5
57,28,475,0.44,1168.5,565.25,0,53.1
58,28,475,0.46,1192.25,584.25,0,49.2
59,28,425,0.52,858.5,607.75,0,40
60,28,450,0.49,837,580.5,0,45.3
61,28,450,0.51,891,175.5,0,42.7
62,28,475,0.46,817,560.5,0,48.7
63,28,475,0.48,869.25,598.5,0,45.5
64,28,350,0.51,1141,486.5,0,39.5
65,28,350,0.54,1197,521.5,0,31.7
66,28,375,0.48,1121.25,468.75,0,42.7
67,28,375,0.51,1196.25,506.25,0,40.7
68,28,400,0.45,1080,440,0,47.9
69,28,400,0.48,1168,484,0,44.9
70,28,425,0.42,1049.75,416.5,0,51.3
71,28,425,0.45,1139,463.25,0,49.1
72,28,450,0.42,1102.5,441,0,53.7
73,28,350,0.54,1197,521.5,0,36.6
74,28,375,0.51,1196.25,506.25,0,41.6
75,28,400,0.48,1168,484,0,46.2
76,28,425,0.45,1139,463.25,0,50.4
77,28,450,0.42,1102.5,441,0,54.1
78,28,375,0.53,903.75,551.25,0,37.3
79,28,400,0.5,884,528,0,44
80,28,400,0.53,944,576,0,39.6
81,28,425,0.47,862.75,505.75,0,47.4
82,28,425,0.49,926.5,548.25,0,44.7
83,28,450,0.44,837,481.5,0,50.9
84,28,450,0.47,900,526.5,0,48.1
85,28,475,0.42,798,451.25,0,54.1
86,28,475,0.44,874,503.5,0,51.3
87,56,375,0.53,1143.75,592.5,0,40.9
88,56,400,0.5,1128,572,0,50.2
89,56,400,0.53,1196,616,0,45.5
90,56,425,0.47,1096.5,544,0,51.3
91,56,425,0.49,1177.25,590.75,0,50.7
92,56,450,0.44,1057.5,513,0,54.5
93,56,450,0.47,1143,562.5,0,51.3
94,56,475,0.42,1040.25,498.75,0,57.9
95,56,475,0.44,1168.5,565.25,0,55.7
96,56,375,0.53,1143.75,592.5,0,43.5
97,56,400,0.5,1128,572,0,50.9
98,56,400,0.53,1196,616,0,46.6
99,56,425,0.47,1096.5,544,0,52.9
100,56,425,0.49,1177.25,590.75,0,51.5
101,56,425,0.51,1253.75,641.75,0,49.1
102,56,450,0.44,1057.5,513,0,56.3
103,56,450,0.47,1143,562.5,0,53.4
104,56,450,0.49,1228.5,616.5,0,53.2
105,56,475,0.42,1040.25,498.75,0,58.7
106,56,475,0.44,1168.5,565.25,0,56.7
107,56,475,0.46,1192.25,584.25,0,54
108,56,425,0.52,858.5,607.75,0,46.9
109,56,450,0.49,837,580.5,0,50.4
110,56,450,0.51,891,175.5,0,48.5
111,56,475,0.46,817,560.5,0,53.5
112,56,475,0.48,869.25,598.5,0,50.9
113,56,350,0.51,1141,486.5,0,43.3
114,56,350,0.54,1197,521.5,0,37.2
115,56,375,0.48,1121.25,468.75,0,48.2
116,56,375,0.51,1196.25,506.25,0,44.5
117,56,400,0.45,1080,440,0,52.9
118,56,400,0.48,1168,484,0,51.2
119,56,425,0.42,1049.75,416.5,0,57.6
120,56,425,0.45,1139,463.25,0,54.1
121,56,450,0.42,1102.5,441,0,57.8
122,56,350,0.54,1197,521.5,0,43.5
123,56,375,0.51,1196.25,506.25,0,46.8
124,56,400,0.48,1168,484,0,52.6
125,56,425,0.45,1139,463.25,0,56
126,56,450,0.42,1102.5,441,0,58.5
127,56,375,0.53,903.75,551.25,0,43.5
128,56,400,0.5,884,528,0,50.5
129,56,400,0.53,944,576,0,46.1
130,56,425,0.47,862.75,505.75,0,51.3
131,56,425,0.49,926.5,548.25,0,50.7
132,56,450,0.44,837,481.5,0,55.7
133,56,450,0.47,900,526.5,0,52.6
134,56,475,0.42,798,451.25,0,58.2
135,56,475,0.44,874,503.5,0,56.4
136,91,375,0.53,1143.75,592.5,0,44.5
137,91,400,0.5,1128,572,0,51.9
138,91,400,0.53,1196,616,0,47.5
139,91,425,0.47,1096.5,544,0,54.3
140,91,425,0.49,1177.25,590.75,0,52.9
141,91,450,0.44,1057.5,513,0,58
142,91,450,0.47,1143,562.5,0,55.3
143,91,475,0.42,1040.25,498.75,0,60.2
144,91,475,0.44,1168.5,565.25,0,58.3
145,91,375,0.53,1143.75,592.5,0,47.6
146,91,400,0.5,1128,572,0,52.6
147,91,400,0.53,1196,616,0,51.1
148,91,425,0.47,1096.5,544,0,54.5
149,91,425,0.49,1177.25,590.75,0,53.1
150,91,425,0.51,1253.75,641.75,0,51.2
151,91,450,0.44,1057.5,513,0,59.2
152,91,450,0.47,1143,562.5,0,55
153,91,450,0.49,1228.5,616.5,0,53.7
154,91,475,0.42,1040.25,498.75,0,63.1
155,91,475,0.44,1168.5,565.25,0,62.6
156,91,475,0.46,1192.25,584.25,0,57.1
157,91,425,0.52,858.5,607.75,0,48.5
158,91,450,0.49,837,580.5,0,53.1
159,91,450,0.51,891,175.5,0,49.6
160,91,475,0.46,817,560.5,0,56.5
161,91,475,0.48,869.25,598.5,0,53.6
162,91,350,0.51,1141,486.5,0,46.1
163,91,350,0.54,1197,521.5,0,43.9
164,91,375,0.48,1121.25,468.75,0,52.2
165,91,375,0.51,1196.25,506.25,0,46.4
166,91,400,0.45,1080,440,0,55.5
167,91,400,0.48,1168,484,0,53.9
168,91,425,0.42,1049.75,416.5,0,59.5
169,91,425,0.45,1139,463.25,0,57.4
170,91,450,0.42,1102.5,441,0,59.9
171,91,350,0.54,1197,521.5,0,46.6
172,91,375,0.51,1196.25,506.25,0,50
173,91,400,0.48,1168,484,0,53.1
174,91,425,0.45,1139,463.25,0,58.3
175,91,450,0.42,1102.5,441,0,62.3
176,91,375,0.53,903.75,551.25,0,46.6
177,91,400,0.5,884,528,0,52.6
178,91,400,0.53,944,576,0,48.2
179,91,425,0.47,862.75,505.75,0,54.8
180,91,425,0.49,926.5,548.25,0,52.8
181,91,450,0.44,837,481.5,0,59.1
182,91,450,0.47,900,526.5,0,55.6
183,91,475,0.42,798,451.25,0,61.1
184,91,475,0.44,874,503.5,0,59.5
185,7,380,0.46,1466.8,790.4,0,23.4
186,28,380,0.46,1466.8,790.4,0,31.6
187,56,380,0.46,1466.8,790.4,0,36.6
188,3,410,0.5,1132,609,0,26.1
189,7,410,0.5,1132,609,0,36.9
190,28,410,0.5,1132,609,0,50.8
191,56,410,0.5,1132,609,0,57.1
192,90,410,0.5,1132,609,0,58.1
193,180,410,0.5,1132,609,0,60.6
194,28,250,0.87,555,1285,0,23.1
195,180,250,0.87,555,1285,0,26.6
196,28,300,0.75,536,1242,0,29.5
197,180,300,0.75,536,1242,0,34.2
198,28,350,0.66,517,1197,0,35.7
199,180,350,0.66,517,1197,0,41.4
200,28,400,0.6,498,1154,0,41.5
201,180,400,0.6,498,1154,0,48
202,7,335,0.58,1200,618,0,23.75
203,14,335,0.58,1240,605,0,30.43
204,28,335,0.58,1170,675,0,36.67
205,7,335,0.58,1240,605,0,27.45
206,14,335,0.58,1200,618,0,33.91
207,28,335,0.58,1240,605,0,40.03
208,7,335,0.58,1170,675,0,28.11
209,14,335,0.58,1240,605,0,32.64
210,28,335,0.58,1200,618,0,36.99
211,7,335,0.58,1240,605,0,23.81
212,14,335,0.58,1170,675,0,37.12
213,28,335,0.58,1240,605,0,41.52
214,1,400,0.49,1105,654,0,14.7
215,7,400,0.49,1105,654,0,34
216,28,400,0.49,1105,654,0,45.3
217,1,400,0.49,1105,654,5,16.67
218,7,400,0.49,1105,654,5,41.23
219,28,400,0.49,1105,654,5,50.55
220,1,400,0.49,1105,654,10,20.48
221,7,400,0.49,1105,654,10,46.08
222,28,400,0.49,1105,654,10,54.75
223,1,400,0.49,1105,654,5,19.07
224,7,400,0.49,1105,654,5,41.04
225,28,400,0.49,1105,654,5,51.61
226,1,400,0.49,1105,654,10,19.07
227,7,400,0.49,1105,654,10,43
228,28,400,0.49,1105,654,10,49.33
229,1,400,0.49,1105,654,10,20.52
230,7,400,0.49,1105,654,10,41.04
231,28,400,0.49,1105,654,10,51.71
232,28,355.96,0.5,1032.3,848.38,0,23.48
233,28,355.96,0.5,1032.3,848.38,0.25,27.34
234,28,355.96,0.5,1032.3,848.38,0.5,32.76
235,28,355.96,0.5,1032.3,848.38,1,37.69
236,28,355.96,0.5,1032.3,848.38,1.25,36.13
237,28,355.96,0.4,1032.3,848.38,0,22.52
238,28,355.96,0.4,1032.3,848.38,0.25,29.51
239,28,355.96,0.4,1032.3,848.38,0.5,35.89
240,28,355.96,0.4,1032.3,848.38,0.75,42.63
241,28,355.96,0.4,1032.3,848.38,1,46.97
242,28,355.96,0.4,1032.3,848.38,1.25,43.11
243,28,355.96,0.4,1032.3,848.38,1.5,34.08
244,28,355.96,0.4,1032.3,848.38,1.75,29.87
245,28,355.96,0.75,1032.3,848.38,0,15.89
246,28,355.96,0.75,1032.3,848.38,0.25,16.38
247,28,355.96,0.75,1032.3,848.38,0.5,16.74
248,28,355.96,0.75,1032.3,848.38,0.75,17.22
249,28,355.96,0.75,1032.3,848.38,1,17.58
250,28,355.96,0.75,1032.3,848.38,1.25,27.09
251,28,355.96,0.75,1032.3,848.38,1.5,25.41
252,28,355.96,0.75,1032.3,848.38,1.75,16.98
253,28,355.96,0.75,1032.3,848.38,2,15.17
254,7,350,0.4,1121.208,659.604,0,36.5
255,28,350,0.4,1121.208,659.604,0,49.2
256,7,350,0.4,1121.208,659.604,0.1,36.6
257,28,350,0.4,1121.208,659.604,0.1,52.7
258,7,350,0.4,1121.208,659.604,0.2,36.79
259,28,350,0.4,1121.208,659.604,0.2,58.16
260,7,350,0.4,1121.208,659.604,0.3,38.09
261,28,350,0.4,1121.208,659.604,0.3,60.3
262,7,350,0.4,1121.208,659.604,0.4,37.69
263,28,350,0.4,1121.208,659.604,0.4,61.26
264,7,350,0.4,1121.208,659.604,0.5,38.19
265,28,350,0.4,1121.208,659.604,0.5,62.66
266,7,380,0.55,952,696,0,36.8
267,28,380,0.55,952,696,0,47.5
268,90,380,0.55,952,696,0,54.7
269,7,380,0.55,952,696,0.05,40.4
270,28,380,0.55,952,696,0.05,52.1
271,90,380,0.55,952,696,0.05,59.2
272,7,380,0.55,952,696,0.1,45.1
273,28,380,0.55,952,696,0.1,57.5
274,90,380,0.55,952,696,0.1,66.7
275,7,380,0.55,952,696,0.5,38.4
276,28,380,0.55,952,696,0.5,51.2
277,90,380,0.55,952,696,0.5,57.5
278,28,380,0.55,951.3,756.8,0,47.5
279,28,380,0.55,951.3,756.8,0.05,52.1
280,28,380,0.55,951.3,756.8,0.1,57.5
281,28,380,0.56,952,757,0,45.6
282,28,380,0.56,952,757,1.11,50
283,28,380,0.55,952,757,0.1,57.5
284,28,380,0.55,952,757,0.5,51.2
285,28,380,0.55,952,757,0.05,52.1
286,28,380,0.55,952,757,0.5,44.5
287,28,380,0.55,952,757,0.05,51.6
288,28,380,0.55,952,757,0.5,47.3
289,28,380,0.55,952,757,0.05,46.2
290,28,380,0.55,952,757,0.05,50.7
291,28,400,0.45,987,780,–,64.7
292,28,400,0.45,987,780,0.05,64
293,28,450,0.35,1006,768,–,78.3
294,28,450,0.35,1006,768,0.05,84.9
295,28,525,0.45,0,1580,0,29.875
296,28,525,0.45,0,1580,0.06,38.75
297,28,525,0.45,0,1580,0.12,31.25
